airport_1,airport_2,total_passengers,avg_fare,avg_distance,avg_fare_per_mile,avg_fare_gap
CLT,CHI,3,209.97454545454545,599.0,0.35054181211109425,11.897272727272725
CLT,CLE,23249,241.65715517241378,430.0,0.5619933841218925,43.04862068965517
CLT,CMH,5848,253.83741935483872,347.0,0.7315199405038579,89.80677419354839
CLT,DAL,4918,229.17421568627452,936.0,0.24484424752807105,19.57980392156863
CLT,DCA,40053,238.73618644067795,361.0,0.6613190760129584,38.17296610169491
CLT,DFW,77989,265.89033898305087,936.0,0.284070874981892,36.65474576271187
CLT,DTT,0,192.64,504.0,0.38222222222222224,0.0
CLT,DTW,6704,244.3422222222222,500.2962962962963,0.48839595532039976,22.365925925925925
CLT,EFD,30,288.46846153846155,920.0,0.31355267558528427,0.0
CLT,EWR,87831,213.22593220338982,575.0,0.3708277081798084,12.253813559322037
CLT,FLL,46807,191.4685593220339,650.0,0.2945670143415906,44.75889830508475
CLT,HOU,5284,229.36389830508475,920.0,0.24930858511422255,25.860169491525422
CLT,HPN,6663,248.42203389830507,575.0,0.4320383198231392,41.96449152542373
CLT,IAD,21284,229.59974576271188,361.0,0.6360103760739941,23.252372881355935
CLT,IAH,41871,258.9347457627119,920.0,0.28145081061164334,9.384999999999998
CLT,ISP,2265,211.65906779661017,575.0,0.3681027266028003,19.764745762711865
CLT,JFK,47571,161.39101694915254,575.0,0.280680029476787,17.654406779661016
CLT,LAS,1391,201.39,1916.0,0.10510960334029228,36.07333333333333
CLT,LAX,63129,304.98050847457625,2125.0,0.14352023928215352,136.94033898305085
CLT,LGA,140069,200.90584745762712,575.0,0.34940147383935155,51.22262711864406
CLT,LGB,869,321.9717699115044,2125.0,0.15151612701717856,25.39
CLT,MCI,3521,202.42176470588237,809.0,0.25021231731258636,88.24529411764706
CLT,MCO,1572,167.07666666666668,468.0,0.3570014245014245,25.49
CLT,MDW,13382,174.7228813559322,599.0,0.2916909538496364,17.93228813559322
CLT,MIA,41365,204.40601694915253,650.0,0.31447079530638855,39.273813559322036
CLT,MKC,0,64.0,809.0,0.07911001236093942,0.0
CLT,MSP,111,274.4,930.0,0.2950537634408602,80.43
CLT,NYC,9,278.64214285714286,575.0,0.4845950310559006,9.207142857142859
CLT,OAK,3279,338.2218644067797,2296.0,0.1473091743931967,62.929576271186434
CLT,ONT,8496,292.3811016949153,2125.0,0.13759110667996013,75.00372881355932
CLT,ORD,97615,217.73169491525425,599.0,0.3634919781556832,10.169491525423728
CLT,PHX,31113,304.4950769230769,1773.2153846153847,0.1717228380613372,169.48984615384614
CLT,SEA,128,304.91,2279.0,0.13379113646336113,67.08000000000001
CLT,SFO,49629,332.23644067796613,2296.0,0.14470228252524656,142.64237288135593
CLT,SJC,6799,317.8851694915254,2296.0,0.1384517288726156,79.24279661016949
CLT,SNA,10486,322.80830508474577,2125.0,0.15190979062811566,71.33796610169492
CLT,SWF,1275,227.8178899082569,575.0,0.3962050259274033,29.733577981651376
CLT,TPA,43474,215.98983050847457,507.72033898305085,0.4254758864229453,48.78949152542373
CLT,WAS,0,190.4611111111111,361.0,0.5275931055709449,0.0
CMH,BNA,5334,176.7392857142857,337.14285714285717,0.5242737463974054,0.2267857142857141
CMH,BUR,3828,247.73813559322033,1995.5677966101696,0.12414849464444372,14.214915254237289
CMH,BWI,38400,138.4828813559322,336.43220338983053,0.41154995713016385,6.30228813559322
